title,genres,original_language,overview,popularity,production_companies,release_date,budget,runtime,status,tagline,vote_average,vote_count,keywords,adult,production_countries,spoken_languages,actor_1_popularity,actor_2_popularity,actor_3_popularity,mpaa_rating,revenue
Syriana,Drama-Thriller,en,The Middle Eastern oil industry is the backdrop of this tense drama which weaves together numerous story lines. Bennett Holiday is an American lawyer in charge of facilitating a dubious merger of oil companies while Bryan Woodman a Switzerland-based energy analyst experiences both personal tragedy and opportunity during a visit with Arabian royalty. Meanwhile veteran CIA agent Bob Barnes uncovers an assassination plot with unsettling origins.,13.885,Participant-4M-Section Eight-FilmWorks-MID Foundation-Warner Bros. Pictures,2005-11-23,17.72753356339242,128.0,Released,Everything is connected.,6.422999999999999,1178.0,anti terror-bomb-assassination-middle east-cia-capitalism-globalization-loss of loved one-persia-war on terror-energy policy-petrol-conspiracy,0.0,United States of America,"Arabic, English, Persian, Urdu, French, Mandarin",6.6132,9.0895,2.9211,R,18.358535303777714
Æon Flux,Science Fiction-Action-Thriller,en,400 years into the future disease has wiped out the majority of the world's population except one walled city Bregna ruled by a congress of scientists. When Æon Flux the top operative in the underground 'Monican' rebellion is sent on a mission to kill a government leader she uncovers a world of secrets.,14.86,Paramount-Lakeshore Entertainment-MTV Films-Colossal Pictures-Valhalla Motion Pictures-MTV Productions,2005-11-30,17.942644943009366,93.0,Released,The Perfect World Meets The Perfect Assassin,5.6,1923.0,martial arts-dystopia-surrealism-based on cartoon-shootout-espionage-infertility-cyberpunk-sabotage-one against many-woman director-hand to hand combat-human cloning,0.0,United States of America,English,6.9217,2.2538,2.7901,PG-13,17.791853429376694
Keeping Mum,Comedy,en,A pastor preoccupied with writing the perfect sermon fails to realize that his wife is having an affair and his children are up to no good.,13.686,Summit Entertainment-Isle of Man Film,2005-12-02,12.037653993905211,103.0,Released,Some family secrets are best kept...buried.,6.6,487.0,golf-killer-housekeeper-extramarital affair-family conflict,0.0,"United Kingdom, United States of America",English,3.7795,2.8317,3.6097,R,16.73677259375428
Memoirs of a Geisha,Drama-Romance-History,en,In the years before World War II a penniless Japanese child is torn from her family to work as a maid in a geisha house.,34.521,Columbia Pictures-DreamWorks Pictures-Spyglass Entertainment-Amblin Entertainment-Red Wagon Entertainment,2005-12-06,18.258161814454592,146.0,Released,A story like mine has never been told.,7.667000000000001,2949.0,secret love-japan-prostitute-sibling relationship-geisha-brothel-mentor-world war ii-loss of virginity-period drama-kimono-sumo-kyoto japan-1920s-1940s-1930s-loving-student mentor relationship-loss of sister-loss of parents-admiring-appreciative,0.0,"France, Japan, United States of America","English, Japanese",4.3374,3.4711,3.9258,PG-13,18.90460553510379
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure-Family-Fantasy,en,Siblings Lucy Edmund Susan and Peter step through a magical wardrobe and find the land of Narnia. There they discover a charming once peaceful kingdom that has been plunged into eternal winter by the evil White Witch Jadis. Aided by the wise and magnificent lion Aslan the children lead Narnia into a spectacular climactic battle to be free of the Witch's glacial powers forever.,363.431,Walt Disney Pictures-Walden Media-C.S. Lewis Company,2005-12-07,19.008467408854486,143.0,Released,Evil Has Reigned For 100 Years...,7.12,9361.0,saving the world-sibling relationship-witch-based on novel or book-self sacrifice-winter-cupboard-beaver-lion-fairy tale-epic-surrealism-battle-based on children's book-fantasy world-duringcreditsstinger-1940s-high fantasy-based on young adult novel-faun-good versus evil,0.0,"United Kingdom, United States of America","English, German",1.3337,1.2777,1.471,PG,20.42891238021573
King Kong,Adventure-Drama-Action,en,In 1933 New York an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island where they encounter Kong a giant ape who is immediately smitten with the leading lady.,44.817,Universal Pictures-WingNut Films-Big Primate Pictures-MFPV Film,2005-12-12,19.138520537102682,187.0,Released,The eighth wonder of the world.,6.869,7289.0,new york city-show business-movie business-exotic island-human animal relationship-great depression-giant insect-remake-prehistoric creature-dinosaur-creature-kaiju-empire state building-giant ape-woman in peril-1930s-giant gorilla,0.0,"New Zealand, United States of America, Germany",English,3.8209,10.1168,7.0661,PG-13,20.147658905239187
The Family Stone,Comedy-Drama-Romance,en,An uptight conservative businesswoman accompanies her boyfriend to his eccentric and outgoing family's annual Christmas celebration and finds that she's a fish out of water in their free-spirited way of life.,24.863000000000003,Major Studio Partners-Fox 2000 Pictures-Michael London Productions-Pan Productions-The Family Stone,2005-12-15,16.759949537130716,103.0,Released,Feel The Love,6.3,810.0,holiday-christmas-christmas romance,0.0,United States of America,English,3.5818,3.79,3.5626,PG-13,18.346866579402192
Hoodwinked!,Animation-Comedy-Family-Crime,en,Little Red Riding Hood: A classic story but there's more to every tale than meets the eye. Before you judge a book by its cover you've got to flip through the pages. In the re-telling of this classic fable the story begins at the end of the tale and winds its way back. Chief Grizzly and Detective Bill Stork investigate a domestic disturbance at Granny's cottage involving a karate-kicking Red Riding Hood a sarcastic wolf and an oafish Woodsman.,22.463,Kanbar Entertainment-The Weinstein Company,2005-12-16,16.523560759066484,82.0,Released,The Secrets of Fairytales Revealed!,6.2,1549.0,wolf-suspicion-little red riding hood-investigation-burglary-grandmother,0.0,United States of America,English,14.104,3.394,2.4178,PG,17.748390281997928
Fun with Dick and Jane,Comedy,en,After Dick Harper loses his job at Globodyne in an Enron-esque collapse he and his wife Jane turn to crime in order to handle the massive debt they now face. Two intelligent people Dick and Jane actually get pretty good at robbing people and even enjoy it -- but they have second thoughts when they're reminded that crime can hurt innocent people. When the couple hears that Globodyne boss Jack McCallister actually swindled the company they plot revenge.,17.703,Columbia Pictures-Imagine Entertainment-JC 23 Entertainment,2005-12-21,18.420680743952367,90.0,Released,Giving big businesses a run for their money!,6.2,2090.0,based on novel or book-husband wife relationship-robber-hold-up robbery-remake-suburbia-loss of job-humiliation-unemployment-bankruptcy-travel agent-riches to rags-bearer bonds-comeuppance,0.0,United States of America,English,7.7751,2.6423,4.3854,PG-13,19.123907514337912
Cheaper by the Dozen 2,Comedy-Family-Adventure,en,Steve Martin and Bonnie Hunt return as heads of the Baker family who while on vacation find themselves in competition with a rival family of eight children headed by Eugene Levy,31.061,20th Century Fox-21 Laps Entertainment,2005-12-21,17.909855120186375,94.0,Released,Same Big Family... Even Bigger Adventure.,6.2,1912.0,chicago illinois-lake-husband wife relationship-based on novel or book-holiday-competition-forbidden love-big family-father-family relationships-rivalry-labor pain-family vacation-family holiday-large family,0.0,"Canada, United States of America",English,3.0566,2.6695,2.4792,PG,18.67673150474787
Rumor Has It...,Comedy-Romance,en,Sarah Huttinger's return home with her fiance convinces her that the sedate proper country-club lifestyle of her family isn't for her – and that maybe the Huttinger family isn't even hers – as she uncovers secrets that suggest the Huttingers are neither sedate nor proper.,15.818,Village Roadshow Pictures-Section Eight-Spring Creek Productions-Warner Bros. Pictures-Munich Hoffmann-Media,2005-12-22,18.064005800013632,97.0,Released,Based on a true rumor,5.6,1007.0,ladykiller-daughter-family secrets-extramarital affair,0.0,"Germany, United States of America","English, Spanish",5.4033,8.1573,6.7969,PG-13,18.30340015454872
Munich,Drama-Action-History-Thriller,en,During the 1972 Olympic Games in Munich eleven Israeli athletes are taken hostage and murdered by a Palestinian terrorist group known as Black September. In retaliation the Israeli government recruits a group of Mossad agents to track down and execute those responsible for the attack.,14.962,DreamWorks Pictures-Universal Pictures-Amblin Entertainment-Peninsula Films-Alliance Atlantis-The Kennedy/Marshall Company-Barry Mendel Productions,2005-12-23,18.064005800013632,164.0,Released,The world was watching in 1972 as 11 Israeli athletes were murdered at the Munich Olympics. This is the story of what happened next.,7.1,2230.0,paris france-assassination-israel-hotel room-terrorist-1970s-hostage-intelligence-olympic games-munich germany-mossad-ailul al aswad-plo terrorist group-bomb constructor-baader-meinhof group-olympian village-revenge-terrorist group,0.0,"Canada, France, United States of America","Arabic, German, Greek, English, French, Hebrew, Italian, Russian",2.755,5.6035,3.6968,R,18.690571452012065
Transamerica,Drama,en,Bree is about to get a sex reassignment surgery that will finally allow her to actually be what she’s already been in her mind for a long time: a transitioned woman. Yet before this happens she suddenly runs into her son who ends up coming for the trip across the United States.,9.883,Belladonna Productions,2005-12-23,13.815510557964274,103.0,Released,Life is a journey. Bring an open mind.,7.067,394.0,individual-new york city-missionary-runaway-sexual abuse-waitress-parent child relationship-drug addiction-cocaine-hustler-new identity-motel-therapist-porn actor-road trip-los angeles california-porn industry-stolen cars-hitchhike-trans woman-transgender,0.0,United States of America,"Spanish, English",2.0712,3.3567,1.5974,R,16.40705458287798
Tsotsi,Crime-Drama,af,The South African multi-award winning film about a young South African boy from the ghetto named Tsotsi meaning Gangster. Tsotsi who left home as a child to get away from helpless parents finds a baby in the back seat of a car that he has just stolen. He decides that it his responsibility to take care of the baby and in the process learns that maybe the gangster life isn’t the best way.,6.815,Movieworld Productions-UK Film & TV Production Company-National Film & Video Foundation of South Africa,2005-12-23,14.914122846632385,94.0,Released,In this world... Redemption comes just once.,6.9,272.0,slum-baby-fight-leader-johannesburg south africa-police-love-friends-murder-gang-criminal-hijack,0.0,"South Africa, United Kingdom","Afrikaans, English, Sotho, Tswana, Zulu",0.3622,0.5117,0.5341,R,16.106020134497072
The New World,Drama-History-Romance,en,A drama about explorer John Smith and the clash between Native Americans and English settlers in the 17th century.,12.905,New Line Cinema-First Foot Films-Sunflower Productions-Sarah Green Film-The Virginia Company LLC,2005-12-25,17.216707939626428,151.0,Released,"Once discovered, it was changed forever.",6.527,982.0,chief-colonialism-virginia-new world-17th century,0.0,United States of America,English,5.2479,1.5199,4.688,PG-13,17.234417299134122
The Producers,Comedy,en,After putting together another Broadway flop down-on-his-luck producer Max Bialystock teams up with timid accountant Leo Bloom in a get-rich-quick scheme to put on the world's worst show.,12.895,Sony Pictures-Gaumont Columbia Tristar Films,2005-12-25,17.622173047734595,134.0,Released,They had everything to gain by not being a success!,6.2,403.0,cheating-nazi-success-musical-blonde-producer-broadway-aftercreditsstinger-woman director,0.0,United States of America,English,2.0412,3.2544,6.8311,PG-13,17.45463067215965
Day Watch,Fantasy-Action-Horror-Thriller,ru,A man who serves in the war between the forces of Light and Dark comes into possession of a device that can restore life to Moscow which was nearly destroyed by an apocalyptic event.,11.776,20th Century Fox-Fox Searchlight Pictures-Bazelevs Production-First Channel-Tabbak,2006-01-01,15.250595083253597,145.0,Released,The second chapter in the epic fantasy trilogy,6.121,438.0,vampire-light-darkness-battle for power-market-moscow russia,0.0,"Russia, United States of America",Russian,2.134,0.8965,0.968,R,17.574814271973143
Hostel,Horror,en,Three backpackers head to a Slovakian city that promises to meet their hedonistic expectations with no idea of the hell that awaits them.,26.432,International Production Company-Raw Nerve-Next Entertainment-Hostel LLC,2006-01-06,15.38412647587812,94.0,Released,Welcome to your worst nightmare.,5.945,3406.0,sadism-amsterdam netherlands-bathroom-brothel-paranoia-human trafficking-bratislava slovakia-machete-gore-dominatrix-backpacker-iceland-europe-deception-blood bath-mercilessness-slasher-torture-prostitution-strangulation-business card-doberman-eye gouging-hostel-mugging-torture porn-elite club-slovakia-american horror,0.0,"Czech Republic, United States of America","German, English, Icelandic, Japanese, Dutch, Russian, Slovak, Spanish, Czech",2.3415,1.1312,0.2175,R,18.22198375056932
Grandma's Boy,Comedy,en,Even though he's 35 Alex acts more like he's 13 spending his days as the world's oldest video game tester and his evenings developing the next big Xbox game. But when he gets kicked out of his apartment he's forced to move in with his grandmother.,12.942,20th Century Fox-Happy Madison Productions,2006-01-06,15.424948470398375,94.0,Released,A movie that proves you're never too old to come of age.,6.6,539.0,video game-grandparent grandchild relationship-roommate-cannabis-bong-rivalry-marijuana-pot smoking-man child-male masturbation-stoner-older woman younger man relationship-grandmother-game tester-game design-weed-stoner movie,0.0,United States of America,"English, Portuguese",1.2013,7.3484,0.935,R,15.693168938399074
Running Scared,Action-Crime-Drama-Thriller,en,A low-ranking thug is entrusted by his boss to dispose of a gun that killed corrupt cops but things spiral out of control when the gun ends up in wrong hands.,11.248,New Line Cinema-International Production Company-Media 8 Entertainment-True Grit Productions-MDP Filmproduktion-Zero Gravity Management-VIP 1 Medienfonds-Pierce/Williams Entertainment-VIP 2 Medienfonds,2006-01-06,16.64872390202049,122.0,Released,Every bullet leaves a trail.,7.0,881.0,undercover agent-ice hockey-russian mafia-racism-pedophile-police investigation-pistol whip-ankle holster-breaking finger-shot-hidden identity,0.0,"Germany, United States of America","English, Russian",4.3333,1.2472,3.766,R,16.06680235657077
The Last King of Scotland,Drama,en,Young Scottish doctor Nicholas Garrigan decides it's time for an adventure after he finishes his formal education so he decides to try his luck in Uganda and arrives during the downfall of President Obote. General Idi Amin comes to power and asks Garrigan to become his personal doctor.,14.71,Fox Searchlight Pictures-Cowboy Films-DNA Films-Scottish Screen-UK Film Council-Film4 Productions-Slate Films-Tatfilm,2006-01-12,15.60727002719233,123.0,Released,Charming. Magnetic. Murderous.,7.436,1803.0,dictator-africa-based on novel or book-1970s-general-mass murder-kidnapping-naivety-luxury-diplomat-charisma-polygamy-uganda-dictatorship-historical fiction-doctor-idi amin-scottish-kampala,0.0,"United States of America, United Kingdom","English, French, German, Swahili",4.019,6.0702,1.5271,R,17.699508319249322
Underworld: Evolution,Fantasy-Action-Thriller,en,As the war between the vampires and the Lycans rages on Selene a former member of the Death Dealers (an elite vampire special forces unit that hunts werewolves) and Michael the werewolf hybrid work together in an effort to unlock the secrets of their respective bloodlines.,34.158,Screen Gems-Lakeshore Entertainment,2006-01-12,17.72753356339242,106.0,Released,"My God. Brother, what have you done?",6.6,3697.0,budapest hungary-key-vampire-forbidden love-light-rivalry-werewolf-gothic-evolution-dark fantasy-lycanthrope-urban gothic,0.0,United States of America,"English, French, Hungarian",5.7518,2.506,1.7294,R,18.529324480935607
Last Holiday,Adventure-Comedy-Drama,en,The discovery that she has a terminal illness prompts introverted department store saleswoman Georgia Byrd to reflect on what she realizes has been an overly cautious life. With weeks to live she withdraws her life savings sells all her possessions and jets off to Europe where she lives it up at a posh hotel. Upbeat and passionate Georgia charms everybody she meets including renowned Chef Didier. The only one missing from her new life is her longtime crush Sean Matthews.,12.815,Paramount,2006-01-13,17.622173047734595,112.0,Released,She always thought she was somebody special... and she was.,7.098,615.0,holiday-hotel-new year's eve-austria-cooking-department store-new orleans louisiana-terminal illness-vacation-remake-dying woman-avalanche-saleswoman-luxury hotel-change of heart-narcissist-hotel clerk-winter vacation-christmas-snooping-czech republic-introvert-hotel employee-celebrity cameo,0.0,United States of America,"English, French",3.0313,2.4648,2.531,PG-13,17.46356700193244
Bandidas,Action-Comedy-Western-Crime,en,Set in the late 19th century. When a ruthless robber baron takes away everything they cherish a rough-and-tumble idealistic peasant and a sophisticated heiress embark on a quest for justice vengeance…and a few good heists.,14.575,Canal+-TF1 Films Production-Ultra Films-TPS Star-EuropaCorp-A.J.O.Z. Films,2006-01-18,17.37085861945369,93.0,Released,Being BAD never looked so GOOD!,6.0,956.0,mexico-bank robber-revenge-best friend-bank robbery-bank vault-steam locomotive,0.0,"United States of America, France, Mexico","English, Spanish",3.6656,8.2671,4.734,PG-13,16.726876498767393
Big Momma's House 2,Comedy-Crime,en,FBI agent Malcolm Turner goes back undercover as Big Momma a slick-talking slam-dunking Southern granny with attitude to spare! Now this granny must play nanny to three dysfunctional upper class kids in order to spy on their computer hacked dad.,26.715,Epsilon Motion Pictures-Firm Films-Deep River Productions-New Regency Pictures-Ed Friendly Productions-Runteldat Entertainment-Big Lou House Productions,2006-01-26,17.50439001207821,99.0,Released,The momma of all comedies is back.,5.8,1376.0,undercover-fbi-nanny-computer virus-stress-undercover agent-overweight woman-disguise-impersonation,0.0,United States of America,English,2.7692,2.0156,3.1832,PG-13,18.744639744138983
Rang De Basanti,Comedy-Drama-History,hi,After a group of friends graduate from Delhi University they listlessly haunt their old campus until a British filmmaker casts them in a film she's making about freedom fighters under British rule. Although the group is largely apolitical the tragic death of a friend owing to local government corruption awakens their patriotism. Inspired by the freedom fighters they represent in the film the friends collectively decide to avenge the killing.,8.972000000000001,UTV Motion Pictures-Rakeysh Omprakash Mehra Pictures,2006-01-26,14.603967918328545,157.0,Released,A Generation Awakens,7.2,356.0,patriotism-students' movement-war of independence-coming of age-celebration-corrupt politician-indian freedom struggle,0.0,India,"English, Hindi, Punjabi",3.8418,2.5341,0.8703,PG-13,16.25804461932129
Annapolis,Drama-Action,en,Jake Huard from a shipbuilders family promised his dying mother he'ld make it to Anapolis Naval Academy. Thanks to tenaciously bugging a Congressman he's selected despite dubious grades. Once inside Jake soon proves sub-standard academically. Constantly challenged to his limits repeatedly made the 'over-cocky' reason for the entire class to suffer Jake nearly quits but after facing his utterly un-supportive father's gloating returns just in time. Stubborn Jake finds support withs mates as well as Senor Ali his lover-to-be and a discipline he may excel in: the 'brigade' boxing tournament open to all ranks.,23.309,Touchstone Pictures,2006-01-27,17.073607095985757,108.0,Released,"50,000 Apply. 1,200 Are Accepted. Only The Best Survive",6.8,501.0,u.s. navy-maryland-u.s. naval academy,0.0,United States of America,English,4.0515,2.7585,2.8466,PG-13,16.677539538405416
When a Stranger Calls,Horror-Mystery,en,Far away from the site of a gruesome murder a teenager named Jill Johnson arrives at a luxurious home for a baby-sitting job. With the children fast asleep she settles in for what she expects to be an ordinary evening. Soon the ringing of a phone and the frightening words of a sadistic caller turn Jill's routine experience into a night of terror.,17.711,Davis Entertainment-Screen Gems,2006-02-03,16.523560759066484,87.0,Released,"Whatever You Do, Don't Answer The Phone.",5.8,916.0,loss of loved one-babysitter-killer-strange person-call,0.0,United States of America,English,1.5694,3.4394,2.7387,PG-13,18.02112995671777
Winter Passing,Comedy-Drama,en,Actress Reese Holden has been offered a small fortune by a book editor if she can secure for publication the love letters that her father a reclusive novelist wrote to her mother who has since passed away. Returning to Michigan Reese finds that an ex-grad student and a would-be musician have moved in with her father who cares more about his new friends than he does about his own health and well-being.,8.637,Yari Film Group-Stratus Film Co.,2006-02-07,15.068273526459642,98.0,Released,Sometimes you go looking for something you want. . . and find what you need.,6.4,88.0,book editor,0.0,United States of America,English,4.4414,4.6226,5.1089,R,11.64204840462957
Firewall,Action-Crime-Thriller,en,State-of-the-art security system creator Jack Stanfield has cemented his reputation as a man who's thought of everything. But when a criminal finds a way into Jack's personal life everything Jack holds dear is suddenly at stake.,11.517,Village Roadshow Pictures-Beacon Pictures-Thunder Road-Jon Shestack Productions-Warner Bros. Pictures,2006-02-08,17.622173047734595,105.0,Released,Nothing Is More Dangerous Than A Man With Everything To Lose.,5.8,805.0,bank-technology-blackmail-hacker-seattle usa-firewall,0.0,"United States of America, Australia",English,6.9969,4.3814,2.7626,PG-13,18.23193861935549
Final Destination 3,Horror-Mystery,en,A student's premonition of a deadly rollercoaster ride saves her life and a lucky few but not from death itself – which seeks out those who escaped their fate.,58.998000000000005,New Line Cinema-Zide-Perry Productions-Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 1 KG-Hard Eight Pictures-Matinee Pictures-Practical Pictures,2006-02-09,17.034386382832476,93.0,Released,This ride will be the death of you.,6.1,3712.0,dying and death-stroke of fate-beheading-omen-premonition-burned alive-fate-death-supernatural thriller,0.0,"Canada, Germany, United States of America",English,4.5624,1.2403,0.8866,R,18.59379336166101
The Pink Panther,Comedy-Mystery-Crime-Adventure-Family,en,When the coach of the France soccer team is killed by a poisoned dart in the stadium in the end of a game and his expensive and huge ring with the diamond Pink Panther disappears the ambitious Chief Inspector Dreyfus assigns the worst police inspector Jacques Clouseau to the case.,20.745,Columbia Pictures-Metro-Goldwyn-Mayer-Robert Simonds Productions,2006-02-10,17.98989782785991,93.0,Released,Pardon His French.,5.824,1694.0,paris france-france-robbery-diamond-investigation-inspector-football (soccer)-killer-clouseau-murder hunt,0.0,"Czech Republic, United States of America",English,3.0566,6.4097,2.1201,PG,18.88347946129361
Curious George,Adventure-Animation-Comedy-Family,en,When The Man in the Yellow Hat befriends Curious George in the jungle they set off on a non-stop fun-filled journey through the wonders of the big city toward the warmth of true friendship.,24.485,Imagine Entertainment-Universal Pictures,2006-02-10,17.72753356339242,87.0,Released,Show me the Monkey!,6.352,430.0,africa-human animal relationship-museum-hat-product placement-balloon-jungle-based on children's book-monkey-family-prediction-cargo ship-curiosity-natural history museum-animal protagonist,0.0,United States of America,English,4.2987,4.6226,0.5394,G,18.061643225617047
Eight Below,Adventure-Drama-Family,en,In the Antarctic after an expedition with Dr. Davis McClaren the sled dog trainer Jerry Shepherd has to leave the polar base with his colleagues due to the proximity of a heavy snow storm. He ties his dogs to be rescued after but the mission is called-off and the dogs are left alone at their own fortune. For six months Jerry tries to find a sponsor for a rescue mission.,19.899,Walt Disney Pictures-Spyglass Entertainment-Mandeville Films-Winking Productions-Vertigo Entertainment-The Kennedy/Marshall Company,2006-02-17,17.50439001207821,120.0,Released,"The Most Amazing Story Of Survival, Friendship, And Adventure Ever Told.",7.0,1522.0,expedition-pilot-survival-antarctica-sled dogs-seal (animal)-pets,0.0,United States of America,English,4.3333,2.7594,1.6256,PG,18.606795049174295
Freedomland,Drama-Thriller-Crime-Mystery,en,A black police detective must solve a strange case of a kidnapped boy and deal with a big racial protest.,11.333,Scott Rudin Productions-Revolution Studios,2006-02-17,17.444241839241933,113.0,Released,The Truth Is Hiding Where No One Dares To Look.,5.2,284.0,black people-new jersey-lie-psychological stress-baby-snatching-psychopath-psychiatric ward-xenophobia,0.0,United States of America,"English, Italian",7.3181,5.3901,2.5553,R,16.50033498347785
Date Movie,Comedy-Romance,en,Spoof of romantic comedies which focuses on a man his crush his parents and her father.,14.815,Regency Enterprises-Epsilon Motion Pictures-New Regency Pictures,2006-02-17,16.811242831518264,83.0,Released,An Unprotected Comedy,4.2,832.0,date-diary-parents-in-law-bridegroom-parody-crude humor-spoof-wedding,0.0,"Switzerland, United States of America",English,3.3931,1.4011,1.1385,PG-13,17.698072331990687
10th & Wolf,Action-Crime-Drama-Mystery-Thriller,en,A former street thug returns to his Philadelphia home after a stint in the military. Back on his home turf he once again finds himself tangling with the mob boss who was instrumental in his going off to be a soldier.,10.219,Suzanne DeLaurentiis Productions,2006-02-19,15.89495209964411,107.0,Released,"The Intersection Where Family, Honor and Betrayal Collide.",6.0,74.0,philadelphia pennsylvania-undercover-mafia-mobster-crime family,0.0,United States of America,English,8.9225,3.048,1.2448,R,11.873748792455272
V for Vendetta,Action-Thriller-Science Fiction,en,In a world in which Great Britain has become a fascist state a masked vigilante known only as “V” conducts guerrilla warfare against the oppressive British government. When V rescues a young woman from the secret police he finds in her an ally with whom he can continue his fight to free the people of Britain.,37.938,Virtual Studios-Anarchos Productions-Silver Pictures-Fünfte Babelsberg Film-Warner Bros. Productions-DC Vertigo,2006-02-23,17.80449460452855,132.0,Released,People should not be afraid of their governments. Governments should be afraid of their people.,7.9,14325.0,government-detective-revolution-dystopia-fascism-fascist-chancellor-based on comic-revenge-torture-hatred-masked vigilante-vengeful spirit-activist-vengeful-antagonistic,0.0,"Germany, United Kingdom, United States of America",English,6.7285,4.051,1.4658,R,18.70217648294158
Madea's Family Reunion,Drama-Comedy-Romance,en,Based upon Tyler Perry's acclaimed stage production Madea's Family Reunion continues the adventures of Southern matriarch Madea. She has just been court ordered to be in charge of Nikki a rebellious runaway her nieces Lisa and Vanessa are suffering relationship trouble and through it all she has to organize her family reunion.,15.334,Lions Gate Films,2006-02-24,15.60727002719233,110.0,Released,Come as you are. Leave different.,6.4,176.0,spanking-based on play or musical,0.0,United States of America,"English, Spanish",3.8627,1.5038,1.0108,PG-13,17.86261542342091
Lucky Number Slevin,Drama-Thriller-Crime-Mystery,en,Slevin is mistakenly put in the middle of a personal war between the city’s biggest criminal bosses. Under constant watch Slevin must try not to get killed by an infamous assassin and come up with an idea of how to get out of his current dilemma.,22.203000000000003,The Weinstein Company-FilmEngine-Capitol Films-Ascendant Pictures-VIP Medienfonds 4-Lucky Number Slevin Productions Inc.-Mel's Cite du Cinema-The Complex,2006-02-24,17.111347423968603,110.0,Released,Wrong Time. Wrong Place. Wrong Number.,7.5,3587.0,assassination-assassin-identity-sniper-fbi-mistake in person-gangster-gambling debt-boss-murder-sniper rifle-horse racing-gambler-hoodlum,0.0,"Canada, Germany, United Kingdom, United States of America",English,3.0504,10.4744,5.7464,R,17.84636282489696
Doogal,Comedy-Family-Animation-Fantasy-Adventure,en,This is the story of Doogal an adorable candy-loving mutt who goes on a mission to save the world.,8.439,The Weinstein Company,2006-02-24,16.811242831518264,85.0,Released,Things are about to get hairy.,5.2,87.0,carousel -dog-wizard-snail,0.0,"France, United Kingdom, United States of America",English,0.6115,2.1437,2.3248,G,17.12788361114201
Zyzzyx Road,Thriller-Drama,en,A married man (Leo Grillo) meets a beautiful woman (Katherine Heigl) in a Las Vegas casino and allows her to seduce him. When her jealous boyfriend (Tom Sizemore) finds them together a scuffle results in the boyfriend's death. The lovers head to the desert to bury the corpse but it disappears.,5.01,Zyzzyx LLC,2006-02-25,14.508657738524219,90.0,Released,Dead Ahead,5.5,11.0,2000s,0.0,United States of America,English,3.3845,0.233,1.7653,R,3.4011973816621555
16 Blocks,Action-Adventure-Crime-Thriller,en,An aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse but they find themselves running the gauntlet as other forces try to prevent them from getting there.,16.107,Alcon Entertainment-EFO Films-Cheyenne Enterprises-Equity Pictures Medienfonds GmbH & Co. KG III-16 Block Productions-The Donners' Company-Millennium Films-Nu Image-ContentFilm,2006-03-01,17.822843743196746,102.0,Released,1 witness… 118 minutes…,6.4,1703.0,new york city-mission of murder-witness-betrayal-male bonding-doing the right thing-people change,0.0,"Germany, United States of America",English,5.3162,1.4559,3.4792,PG-13,18.000072368153567
Penelope,Fantasy-Comedy-Romance,en,Forlorn heiress Penelope Wilhern is cursed and the only way out is to fall in love with someone of suitable stock. But how can she find her soul mate when she's sequestered inside her family's estate with only her parents to keep her company. This untraditional fairy tale about a girl who bucks convention to create her own happy ending.,14.484000000000002,Tatira-Hiller Productions-Summit Entertainment-Grosvenor Park Media-Type A Films,2006-03-01,16.523560759066484,103.0,Released,A fairytale like no other.,6.7,1255.0,marriage proposal-isolation-yellow press-fairy tale-beauty-transformation-pig-nose-motherly love-make a match-modern fairy tale,0.0,"United Kingdom, United States of America",English,4.3538,6.0702,4.3296,PG,16.867446873423496
Kidulthood,Drama,en,A day in the life of a group of troubled 15-year-olds growing up in west London.,6.666,Cipher Films-Stealth Films Limited-TMC Films,2006-03-03,13.80949248563871,89.0,Released,Before adulthood comes...,6.3,152.0,london england-street gang-gun-ghetto-bullying-hood-school,0.0,United Kingdom,English,1.3763,0.8417,1.1486,R,12.013700752882718
Ultraviolet,Science Fiction-Action-Thriller,en,"In the late 21st century a subculture of humans have emerged who have been modified genetically by a vampire-like disease giving them enhanced speed incredible stamina and acute intelligence. As they are set apart from ""normal"" and ""healthy"" humans the world is pushed to the brink of worldwide civil war  aimed at the destruction of the ""diseased"" population. In the middle of this crossed-fire is - an infected woman - Ultraviolet who finds herself protecting a nine-year-old boy who has been marked for death by the human government as he is believed to be a threat to humans.",18.657,Screen Gems-Ultravi Productions,2006-03-03,17.216707939626428,87.0,Released,The blood war is on.,5.159,1364.0,skyscraper-vampire-victim-dystopia-doctor-one woman army-hemophagia-stamina-totalitarian-antigen-cure-strength-biological warfare-lab technician-rooftop fight-gravity-light sensitivity,0.0,United States of America,"English, Vietnamese",7.313,1.2472,1.3815,PG-13,17.251760072463004
